titre,lien,date,université,tag,traduction auto,contenu
校领导带队调研湖北昌耀新材 推动磷石膏综合利用“产学研”合作,https://syw.ctgu.edu.cn/info/1041/43477.htm,2022-04-13,China Three Gorges University,Institution,"School leaders bring team investigations Hubei Changyao new materials to promote phospantine comprehensive utilization ""production learning"" cooperation",本网讯（通讯员 邬昊洋 向鹏）4月8日，副校长李东升带队赴湖北昌耀新材料股份有限公司，开展磷石膏综合利用调研活动。科学技术处、图书馆等单位人员参加调研。 公司董事长吴赤球率吕伟总工程师等管理人员，热情接待了李东升一行，陪同调研组参观了公司位于夷陵区的多个厂区。 座谈会上，双方就先期成立的磷石膏综合利用创新中心展开了探讨。双方认为通过项目合作、技术指导等方式，开展技术攻关、解决技术难题、推动产业转型升级，实现优势互补、资源共享、合作共赢，将有效探索推动磷石膏综合利用技术标准、行业标准制定、奖励申报，切实推进磷石膏综合利用工作。 座谈会期间，双方本着“产、学、研”合作的宗旨，达成了三峡大学磷石膏现场应用场景（图书馆）方案、磷石膏科技情报服务二期方案，后期将会进一步加强双方科研协作平台建设。    上一条：学校研究部署2022年校园综合治理重点工作 下一条：三峡大学600名青年志愿者助力放流23万尾中华鲟回归长江 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
三峡大学600名青年志愿者助力放流23万尾中华鲟回归长江,https://syw.ctgu.edu.cn/info/1041/43465.htm,2022-04-11,China Three Gorges University,Institution,"600 young volunteers in the Three Gorges University help to let go of 230,000 tails China sturgeon return to the Yangtze River",本网讯（通讯员 何哲 王彦淞）放流中华鲟，共护长江美。4月9日，三峡集团中华鲟研究所在湖北省宜昌市胭脂园长江珍稀鱼类放流点开展了2022年中华鲟增殖放流活动，本次活动共计放流中华鲟23万余尾，创下历次放流尾数之最。 三峡大学600名青年大学生担任本次放流活动志愿者，负责运鱼、放流和现场秩序维护等工作。“小鱼单人提”“大鱼几人抬”，志愿者们从运鱼车将一条条中华鲟转运至暂养池，然后通过放流装置帮助中华鲟回归长江。通过近一整天的努力，23万尾中华鲟全部顺利放入长江。 活动结束后，参与活动的大学生青年志愿者感触颇深。 来自中国青年志愿者第二十四届研究生支教团成员方曼琴同学说：“今天能近距离接触:活蹦乱跳的中华鲟，感到非常奇妙和震撼！作为一名大学生和研支团成员，我深刻意识到我们有责任也有义务参与到长江大保护行动中去，为推动生态文明建设贡献自己的一份力量”。 第十二期“青马工程”培训班学员石佩说：“之前对习近平总书记所讲的‘共抓大保护，不搞大开发’理解不够透彻。通过参加今天的活动，我深刻认识到保护长江生态的重要性，我今后还会继续投身到保护长江珍惜动植物的行动中去。” 港口航道与海岸工程专业大二学生周小锋说：“放流中华鲟活动激发了我们对生态环境的保护意识，让我们近距离体验长江大保护的深刻内涵，意义深远，坚定了我今后为国家水利事业奋斗的决心。” 艺术学院师生志愿者则在现场用艺术创作的方式呼吁人们保护中华鲟。美术学专业大三学生耿梓婕表示：“唯有尊重自然规律，才能永续发展，希望通过我的笔墨唤起更多的人对保护生态环境的重视。” 当天央视新闻联播对本次活动播报时也展现了学校志愿者放流中华鲟的画面。  共青团湖北省委“青春湖北”视频号和三峡大学B站官方号对本次活动进行了全程直播，3万余名观众线上收看了直播。 据悉，中华鲟诞生于距今约1.4亿年的白垩纪，是国家一级重点保护野生动物，也是活化石，有“水中大熊猫”之称。三峡大学长期与三峡集团合作开展中华鲟研究和保护相关工作，已有大学生志愿者4000余人次参与了中华鲟增殖放流活动。 上一条：校领导带队调研湖北昌耀新材 推动磷石膏综合利用“产学研”合作 下一条：三峡大学获批教育部第一期供需对接就业育人项目13项 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
三峡大学获批教育部第一期供需对接就业育人项目13项,https://syw.ctgu.edu.cn/info/1041/43463.htm,2022-04-11,China Three Gorges University,Institution,The Three Gorges University has been approved for the first phase of the Ministry of Education.,本网讯（通讯员 王芸）近日，教育部高校学生司公布了第一期供需对接就业育人项目立项名单，三峡大学获批13个就业育人项目，获批数量位居湖北省高校前列。 该项目是为落实党中央、国务院“稳就业”“保就业”决策部署，深化产教融合、校企合作，推动人才培养与就业有机联动、人才供需有效对接，教育部高校学生司组织有关用人单位和高校实施供需对接的就业育人项目。经高校申请、用人单位申报、专家审核、立项单位信息核查后确定。 学校获批的13个就业育人项目是学校与与长城汽车股份有限公司、深信服科技股份有限公司、中交一公局集团有限公司、中建八局华南建设有限公司、南京诺唯赞生物科技股份有限公司等企业对接的合作项目，涵盖装备制造、信息通讯与互联网、建筑地产、科技服务、医药卫生、教育、公共管理与服务等行业，项目内容涉及就业实习基地项目与定向人才培养培训项目两种类型。  据悉，三峡大学历来高度重视毕业生就业工作，强化校企协同、就业育人，学校将以此次项目合作为契机，进一步加强行业对接，深化产教融合、校企合作，推动人才培养与就业的有机联动，全面推进毕业生就业工作。 上一条：三峡大学600名青年志愿者助力放流23万尾中华鲟回归长江 下一条：【思政网评】树立大思政观，实现思政课内涵式发展 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
【思政网评】树立大思政观，实现思政课内涵式发展,https://syw.ctgu.edu.cn/info/1041/43461.htm,2022-04-11,China Three Gorges University,Institution,[Thinking Network Review] Establish a great idea to achieve the connotation development of thinking,2019年3月18日，习近平总书记在学校思想政治理论课教师座谈会上指出，“思政课是落实立德树人根本任务的关键课程，思政课作用不可替代，思政课教师队伍责任重大”“坚持守正和创新相统一，推动思政课建设内涵式发展”。三年来，思政教育得到了前所未有的重视，立德树人作用更加凸显，教师队伍日益壮大，思政课进入了全覆盖发展的新阶段。新征程上，高等学校、马克思主义学院和思政课教师要一起发力，推进思政课内涵式发展。 思政课与其他课程要协同发展。习近平总书记指出，“坚持显性教育和隐性教育相统一”。思政课是立德树人的关键课程，具有特殊的功能，是显性课程，应有惊涛拍岸之势，马克思主义学院、思政课教师要理直气壮开好思政课；其他各类专业课程是隐性课程，要挖掘其中所蕴含的思政元素，探讨“专业知识点”与“思政育人点”的相互融合与切入，譬如人文精神、科学精神、创新精神等，在课程教学中做到知识与能力并重，教书与育人并行，起到润物无声的效果。全力推动学生思政、教师思政、课程思政、学科思政、环境思政“五个思政”共同发力，从而实现全员、全程、全方位育人。譬如，武汉大学汇聚全校之力共建思政课，12个学院，120个教师联合集体备课，对7000名本科生开展分众式协同授课，促进实现思政课教师与非思政课教师相互支撑、相互协同的教学氛围，“同向同行”，思政课走出马克思主义学院，成功“出圈”。 思政课与“大思政课”要紧密融合。思政课通常指在课堂上讲的思政课，大思政课是指社会生活中的、课堂外的思政课元素。课堂上的思政课也要“走出去”到社会生活中来讲，社会上的引路人也要“请进来”到课堂上来讲，这就是思政课与“大思政课”的紧密融合。善用“大思政课”必须以“满足学生成长发展需求和期待”为基本追求，积极开展第二课堂建设、各级大赛和志愿者活动，采取课堂内外、校园内外的全方位无缝对接，将思政教育渗透到学生学习、生活的方方面面。譬如，三峡大学针对当前大学生社会实践调查过分依赖网络新媒体的情况，教育学生认识到“足不出户”获取“网上资料”的局限性，并采取录制微视频的新方式来激活学生的积极性，推动学生走进现实。在实践中深化选题，树立群众意识，在倾听每一个个体声音中有效剖析社会问题，更好地掌握理论，并内化为价值判断与情感取向，坚定信仰。 思政课教师要做“学网懂网用网”的行家里手。一方面，要坚持“六个要”“八个统一”守好课堂主阵地；另一方面，要认真学习新媒体新技术，做好网络思政。微信公众号、B站、抖音等是学生喜爱的新媒体平台。学生在哪里，思政课就应该覆盖到哪里。习近平总书记强调，要运用新媒体新技术使工作活起来，推动思想政治工作传统优势同信息技术高度融合，增强时代感和吸引力。《教育部等八部门关于加快构建高校思想政治工作体系的意见》也提出“重点建设一批高校思政类公众号，发挥新媒体平台对高校思政工作的促进作用”。譬如三峡大学在微信、B站、抖音上开设的公共平台就在学生中“圈粉”。这是积极发挥学生掌握的新技术优势，用他们在社会“大思政课”上创作的作品搭建起新的“大思政课”，实现课内的“面对面”与课外的“键对键”良性互动，通过“线连线”实现“心连心”，让学生在你来我“网”中实现创新聚力的育人效果。此外，教师也可以直播或者录播开展“空中课堂”，譬如，上海市教委“试水”音频思政课，1天听众量超过课堂40年，让思政课再次“出圈”，从校园走向社会、走向大众，最方便地推动了马克思主义大众化。（作者：刘咏燕 三峡大学马克思主义学院副教授） 上一条：三峡大学获批教育部第一期供需对接就业育人项目13项 下一条：宜昌市社会心理服务精英培训班开班仪式在学校举行 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
宜昌市社会心理服务精英培训班开班仪式在学校举行,https://syw.ctgu.edu.cn/info/1041/43474.htm,2022-04-11,China Three Gorges University,Institution,Yichang City Social Psychological Service Elite Training Class Ceremony Ceremony held in school, 本网讯（通讯员 崔文龙 王凌/文 杨叶 王凌/图）4月9日上午，宜昌市社会心理服务精英培训班开班仪式在三峡大学举行。宜昌市委副书记、市委政法委书记张桂华，校党委副书记李红，市卫健委系统、公安系统和教育系统的百名学员参加会议。市委副秘书长郑晓林主持开班仪式。 李红对参加仪式的领导和学员表示热烈欢迎，详细介绍了学校基本情况和心理健康工作发展情况，表示学校将组织专班对培训安排、疫情防控、后勤保障等方面做好安排。  张桂华表示，学员要珍惜难得的学习机会，成为各行各业在心理建设和服务的星星火种。她要求，要高度重视心理健康服务体系学习。实行靶向教育，提升培训实效。提升实操能力，成为具备理论基础的实战工作者。 宜昌市公安局董念、宜昌市优抚医院朱颖爽、枝江市丹阳小学李梦代表学员发言。他们表示，将全身心投入到学习培训中，以“学到老活到老”的精神，厚积薄发，将新理念、新知识和新方法应用到实际工作中。  仪式结束后，长阳土家族自治县中医院熊主平、秭归县妇幼保健院彭婧玮、宜昌市第十四中学黄权敏、高新区金东方小学徐颖慧、宜昌市公安局伍家岗区分局敖敏、宜昌市公安局政治部卢升泳等6位学员参加学员代表座谈会。他们立足于各自的工作岗位，对培训方案、学习预期、工作疑难点提出行业领域的需求。宜昌市委政法委常务副书记田红、校党委学生工作部副部长方红萍、大学生心理健康教育中心主任陈艳现场给予了解答。 宜昌市委政法委常务副书记田红，市教育局、市卫健委、市公安局及三峡大学党委学生工作部、保卫处负责人参加了开班仪式。  上一条：【思政网评】树立大思政观，实现思政课内涵式发展 下一条：学校举办春季学期综合类招聘会  全员参与多举措促毕业生就业 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
学校举办春季学期综合类招聘会  全员参与多举措促毕业生就业,https://syw.ctgu.edu.cn/info/1041/43459.htm,2022-04-11,China Three Gorges University,Institution,The school held a total of all members of the Spring semester comprehensive recruitment party participated in the empress of graduates.,本网讯（通讯员 盛静）4月7日至8日，三峡大学2022年春季学期综合类招聘会在大学生体育馆前广场举行，这是学校今年春季学期首场大型线下招聘活动。福耀玻璃、中国能源集团、湖北兴发化工集团等多家大中型企业及上市公司在内的139家单位参会，提供岗位5600余个，绍兴市新昌县、武汉市青山区人才中心负责人带领区域部分优质企业参加了本次招聘会，吸引了近2000名毕业生前来参加。 本次招聘会，是学校在做好常态化疫情防控的前提下，聚焦市场需求、聚焦学生就业，以“请进来”的方式，为毕业生搭建优质就业平台，促进毕业生更加充分更高质量就业。为提升招聘会的精准性与实效性，结合疫情防控人员分流导向，本次招聘会分为制造业、水利建筑类、能源和信息通讯类、人文社科类四大专场，历时两天时间。 招聘会现场气氛热烈。毕业生手持精心准备的简历和自荐书，积极与招聘人员交流，主动了解用人单位的招聘需求，推介自己。各参会单位普遍对学校毕业生的综合素质给予了高度评价。部分毕业生与用人单位达成了就业意向并签订了就业协议书。 据悉，三峡大学认真贯彻落实党中央、国务院关于高校毕业生就业工作的决策部署，将毕业生就业工作作为“一把手”工程，出台了党委书记、校长访企拓岗促就业专项行动实施方案，广泛开拓就业渠道和就业岗位，带动学校全员深度参与做好毕业生就业工作。近期，校党委书记何伟军、校长王炎廷带队先后走访了三峡集团、兴发集团、人福药业、安琪集团、国网湖北公司、亿纬锂能湖北亿纬动力公司、长城汽车荆门分公司等企业，深度推进校企合作，为毕业生提供更多优质就业机会。     上一条：宜昌市社会心理服务精英培训班开班仪式在学校举行 下一条：三峡大学与兴发集团联合举办合作与发展大会暨第四届科技论坛 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
三峡大学与兴发集团联合举办合作与发展大会暨第四届科技论坛,https://syw.ctgu.edu.cn/info/1041/43456.htm,2022-04-11,China Three Gorges University,Institution,Three Gorges University and Xingfa Group jointly organized cooperation and development conference and the fourth science and technology forum,本网讯（通讯员 向雷/文 李昌旭/图）4月9日，三峡大学——兴发集团合作与发展大会暨第四届科技论坛在学校水科学与工程楼长江报告厅举行，推进落实双方前三届科技论坛会议成果，汇报“十四五”研发计划项目对接进展情况，深入交流探讨项目合作细节，着力解决兴发集团实际生产中遇到的技术瓶颈问题，进一步巩固和推进战略合作事宜。兴发集团党委副书记、监事会主席、工会主席易行国，股份公司副总经理王杰、李少平、刘畅，股份公司总经济师任联才，股份公司总工程师彭亚利、郑光明，三峡大学校长王炎廷，副校长黄应平、陈和春、李东升等出席会议。会议由李东升主持。  开幕式上，易行国以《校企合作 携手共进》为题作了主题报告，系统介绍了企业发展情况及“十四五”发展规划，梳理回顾了企校合作情况及合作所取得的积极成效，并就下一步持续深化合作提出了建议。  材料与化工学院周昌林副教授、生物与制药学院方艳芬教授、电气与新能源学院杨学林教授、文学与传媒学院王前程教授分别汇报了“甲基三氯硅烷副产物综合利用及光扩散剂应用”“草甘膦废液资源化转化技术与应用”“高容量锂离子电池硅基负极材料”“昭君文化研究进展”等前期对接项目的进展情况。兴发集团相关部门及中心负责人、技术总工一致认为这些项目具有较好的创新和应用前景，建议加快推进。 大会设立七个分论坛，来自兴发集团管理部门、研发中心和子公司的80多位核心技术负责人和高级研究人员与学校材料与化工学院、生物与制药学院、水利与环境学院、电气与新能源学院、土木与建筑学院、机械与动力学院、经济与管理学院等师生一起研讨，双方与会人员对所涉项目课题的关键技术问题、后期研究计划和项目合作开展等进行了深入交流，就部分技术创新项目达成了合作意向。 王炎廷指出，高校和企业都是创新的主体，具有协同创新的内在动力和各自的资源优势，双方联合举行合作与发展大会暨第四届科技论坛，就是要通过“优势互补、资源共享”的友好合作，实现“互惠互利、共同发展”。  王炎廷强调，校企双方都要加大对人才培养、科学研究、社会服务等的投入，紧密合作携手共进，以能落地的“产学研用”项目合作为抓手，把兴发集团和三峡大学产业人才联合培养打造成校企合作新样板，一起为服务国家发展战略作出新的贡献。 据悉，兴发集团是全国最大的精细磷化工企业和三峡库区最大的移民迁建企业，是集化工、水电、矿山、旅游、贸易、金融、物流七大产业于一体的综合性大型企业集团，位居中国企业500强第478位，湖北企业100强第14位。 三峡大学党委（校长）办公室、发展规划与学科建设办公室、科学技术处、人事处、社会服务办公室、各学院负责人参加了论坛活动。  上一条：学校举办春季学期综合类招聘会  全员参与多举措促毕业生就业 下一条：中国银行三峡分行行长王政一行来校洽谈合作 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
中国银行三峡分行行长王政一行来校洽谈合作,https://syw.ctgu.edu.cn/info/1041/43453.htm,2022-04-11,China Three Gorges University,Institution,"China Bank Three Gorges Branch, Wang Zheng, a party, come to school to discuss cooperation",本网讯（通讯员 杨兵/文 杨叶/图）4月8日上午，中国银行三峡分行行长王政一行来访学校。校长王炎廷会见客人并座谈。座谈会由学校党委常委张成主持。  会上，王炎廷介绍了学校基本情况和发展思路，回顾了近年来银校双方的合作历程，感谢中国银行多年来对三峡大学建设与发展给予的大力支持，希望双方进一步深化合作，共同发展。  王政表示，近年来中国银行与三峡大学合作势头良好，双方在来华留学生学杂费收缴、外币账户收支、学生实习就业等诸多方面互惠共赢。中国银行将继续为学校做好服务，支持学校持续健康发展。 双方还就校园金融服务具体合作事项进行了交流，就下一步的合作达成意向。  学校财务处相关负责人参加座谈。 上一条：三峡大学与兴发集团联合举办合作与发展大会暨第四届科技论坛 下一条：学校部署2022年宣传思想文化暨师德师风建设重点工作 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
学校部署2022年宣传思想文化暨师德师风建设重点工作,https://syw.ctgu.edu.cn/info/1041/43452.htm,2022-04-09,China Three Gorges University,Institution,School deployment of 2022 propaganda ideological and cultural and teacher's head,本网讯（通讯员 魏瑶/文 杨叶/图）4月7日下午，学校召开2022年全校宣传思想文化暨师德师风建设工作会议，总结过去一年工作，部署2022年重点工作。党委书记何伟军出席会议并讲话。 何伟军对学校宣传思想文化工作和师德师风建设取得的成绩给予了充分肯定。他指出，做好学校宣传思想文化和师德师风建设工作，必须坚持以习近平新时代中国特色社会主义思想为指导，以迎接、学习、贯彻党的二十大为主线，全面贯彻习近平总书记关于教育的重要论述，特别是关于高校党的建设的指示批示精神，落实立德树人根本任务，以高质量党建引领高质量发展，为早日建成水利电力特色鲜明的国内一流大学提供坚强政治保证。 何伟军指出，宣传力就是生产力，影响力就是竞争力。要把抓实抓好宣传思想工作作为学校争先进位的增长极、发展排位赛的“加分项”。要在适新谋变中进一步强化互联网思维，推进融媒体建设，不断提升学校新闻宣传的影响力、传播力和引导力。要坚持全校上下“一盘棋”，构建校内沟通联动机制，整合校内宣传要素和力量，在统一指挥协调下，奏响鼓舞人心、增强信心的宣传工作“交响曲”。 何伟军强调，做好今年的工作，要在学懂弄通上下功夫，坚持用习近平新时代中国特色社会主义思想凝心铸魂；要在压实责任上下功夫，牢牢把握意识形态工作领导权并防范化解各类风险隐患；要在守正创新上下功夫，积极营造师生踔厉奋发建设国内一流大学的强大气场；要在齐抓共管上下功夫，借力宜昌文明典范城市创建带动文明校园提档升级。 在部署今年的重点工作时，党委常委、宣传部部长兼党委教师工作部部长张锐指出，2022年是党的二十大和省第十二次党代会召开之年，是落实学校第四次党代会精神、推进“13836”工作思路，实施“十四五”规划的关键之年。要严格落实意识形态工作责任制，守牢师德师风底线，着力构建大格局、提升新形象、打造高效能、提供强保障，展现好校园之美、青春之美、传承之美，全方位宣传好师生的奋斗之志、创造之力和发展之果。 会议表彰了2021年度新闻舆论工作先进单位和先进个人。马克思主义学院正院级专职党委副书记时胜利、国际交流文化学院党委书记席敬、经济与管理学院党委书记谭家齐先后作了交流发言，介绍了本学院的好做法、好经验。  会上，何伟军为马克思主义学院“刘咏燕网评工作室”授牌。刘咏燕老师在教学中积极探索思政课第二课堂建设，将理论教学与时事热点、日常生活“超链接”，探索思政课与网络媒体的深度融合，引导学生在“大思政课”中受教育、长才干、做贡献，取得了积极成效。  张锐为教职工摄影协会、大学生摄影协会联合成立的“摄影志愿者服务中心”授牌。该中心将弘扬志愿服务精神，为基层单位提供各类新闻摄影服务。 为了更好地服务基层，会议还公布了宣传人员联系服务学院办法，组织宣传队伍开展岗位练兵，以过硬素质能力和“拼抢实”作风提升宣传思想工作效能。会上还发放了学校编印的《我和我的老师·育人故事》《师德师风建设规章制度汇编》等资料。 会上，党委教师工作部副部长冯世斌作了意识形态与师德师风工作专题培训。 党（校）办、纪委（监察专员办公室）、党委组织部、党委宣传部（教师工作部）、党委统战部、教务处、科学技术处、社会科学处、人事处、学生处、招生及就业指导处、保卫处负责人，各分党委（党总支）书记、分管宣传工作负责人等60余人参加了会议。 上一条：中国银行三峡分行行长王政一行来校洽谈合作 下一条：【乡村振兴】三峡大学发挥科技优势 助力长阳县佑溪村振兴 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
【乡村振兴】三峡大学发挥科技优势 助力长阳县佑溪村振兴,https://syw.ctgu.edu.cn/info/1041/43439.htm,2022-04-08,China Three Gorges University,Institution,"[Country Revitalization] Three Gorges University played scientific and technological advantages to help Yousi Village, Changyang County",本网讯（通讯员 王春娥）4月7日下午，科技助力长阳县佑溪村“乡村振兴”专项基金正式启动。副校长陈和春、李东升出席会议。 陈和春指出，实施乡村振兴战略，是中共十九大作出的重大部署，是决战全面建成小康社会、全面建设社会主义现代化国家的重大历史任务，是新时代“三农”工作的总抓手。按照湖北省委统一安排，学校定点联系长阳县高家堰镇佑溪村。学校充分发挥科技优势，社会服务办公室前期摸底，明确了佑溪村的技术需求。科学技术处组织发布《三峡大学——长阳县佑溪村“乡村振兴”专项基金指南》。期望通过项目“揭榜”和“赛马”，号召科研人员以实际行动助力乡村振兴。 会上，来自生物与制药学院的申请人对申报项目进行了答辩。专家逐一点评，为项目切实服务于长阳县佑溪村“乡村振兴”做出针对性指导。最后，经专家评审决定，对生物与制药学院的沈祥陵教授等2名科研人员以“揭榜制”形式给予项目资助，对生物与制药学院的任立伟博士等2名科研人员以“赛马制”形式给予项目资助。 李东升表示，“为党分忧、为国解难”是开展科学研究的基本立场，国家的需要就是社会的呼唤和人民的期盼。学校积极响应党的号召，发挥科技优势，设立“乡村振兴”专项资金，支持科研人员投身长阳县佑溪村“乡村振兴”行动。这是科技助力“乡村振兴”战略的新方式，用“揭榜制”和“赛马制”方式遴选科研项目也是新举措。希望获得资助的科研人员珍惜机会，用智力为长阳县佑溪村的振兴作出应有贡献。  上一条：学校部署2022年宣传思想文化暨师德师风建设重点工作 下一条：加强学习 推动《中国共产党普通高等学校基层组织工作条例》落实落地 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
加强宣传宣讲 让“科技强基”入人心落实地,https://syw.ctgu.edu.cn/info/1123/43531.htm,2022-04-17,China Three Gorges University,Science,"Strengthening publicity and preaching, letting ""technology strong"" into the heart",本网讯（通讯员 雷勇）近日，三峡大学“科技创新赋能发展”强基计划主体文件已正式公布。为了更好地实现“转作风强担当，搭平台固根基；凝方向塑团队，调杠杆增优势；重培育蓄后势，补短板树标杆”的改革目标，确保政策落实落地，学校科学技术处采取了一系列措施，加大宣讲力度，进一步解读政策，帮助科研人员理解文件精神。 近两周以来，科学技术处编制了文件汇编、制作宣讲PPT，处领导班子成员分头到与自然科学研究相关的9个学院开展政策宣讲。科研人员听了政策解读后，就关心的问题与宣讲人员进行面对面的深入讨论。这种互动交流进一步拉近了职能管理部门与科研人员之间的距离。 此外，学校主页发布科技强基主题海报，科学技术处微信公众号推送了《一图读懂“科技创新赋能发展”强基计划》，后期学校还将借助微视频等多种方式渠道加大宣传力度，为师生学习了解“科技强基”政策提供便利并进一步激发大家干事创业的干劲和热情。    下一条：学校水资源管理研究团队​多名研究生在中国水论坛上交流发言 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
学校水资源管理研究团队​多名研究生在中国水论坛上交流发言,https://syw.ctgu.edu.cn/info/1123/43492.htm,2022-04-17,China Three Gorges University,Science,Multiple graduate students in China's water forum exchange speak in China Water Forum,本网讯（通讯员 孟旭 袁亮/文 李闻钦/图）4月9日-10日，第十九届中国水论坛在大连召开。我校师生共7人参加此次论坛并作学术汇报，其中经济与管理学院何伟军教授水资源管理研究团队多名博士、硕士研究生依托国家社科基金重大项目、国家自然科学基金面上项目和青年项目开展了相关研究，提交了会议论文，并受邀参加4场报告，受到与会专家的好评和关注。 本届水论坛由大连理工大学承办，以“水科学与智慧水务”为主题，面向水科学研究前沿，对接“智慧水务”国家水利发展战略，探索水文科学、水资源管理、生态环境、水旱灾害防御、智慧水务等理论方法与技术，通过线上线下结合方式设有15个分会场，近200位专家学者参会，13.7万人次参会访问。 会上，博士研究生孔阳围绕我国农业灰水足迹时空演变及其驱动因素进行了汇报，指出我国农业水污染形势严峻且空间差异显著，农业产值对农业灰水足迹的增长起最大促进作用，农业灰水足迹强度起最大抑制作用。 硕士研究生孟旭就长江经济带水环境承载力水平及其影响因素做了深入研究，采用标准差椭圆、全局莫兰指数以及地理探测器等方法发现长江经济带水环境承载力整体偏低，各省市之间不存在空间依赖性，不同区域之间的主要驱动因子存在显著空间异质性。 硕士研究生谢萍作了题为《三峡生态经济走廊各县区生态环境质量评估及人为交互影响因素分析》的发言，基于遥感生态指数和地理探测器发现在2001—2019年间三峡生态经济走廊受多种社会经济因素的综合作用影响，生态环境质量逐渐脆弱。 硕士研究生杨东全提出了多维水贫困评价框架，测度了长江经济带多维水贫困空间集聚效应，识别了驱动因素，研究发现长江经济带多维水贫困程度逐渐加重，集聚效应明显且不断增强，需多措并举来缓解水贫困局面。 此次参会交流，全面展示了我校科研团队对国内外水利未来发展的认识以及凝练关键科学问题的能力，展现了出色的科研能力和发展潜力，提高了三峡大学在水资源管理领域的知名度和影响力，加深了与国内相关领域专家学者的交流。      上一条：加强宣传宣讲 让“科技强基”入人心落实地 下一条：三峡大学学者入选爱思唯尔“中国高被引学者” Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
三峡大学学者入选爱思唯尔“中国高被引学者”,https://syw.ctgu.edu.cn/info/1123/43491.htm,2022-04-15,China Three Gorges University,Science,"Three Gorges University scholars are selected by Iediwei ""China highly introduced""",本网讯（通讯员 邬昊洋 任东）4月14日，全球性信息分析公司爱思唯尔(Elsevier)正式发布2021“中国高被引学者”(Highly Cited Chinese Researchers)榜单，来自中国523所高校、企业和科研机构的各学科4701名学者入选最具全球影响力的中国学者。三峡大学材料与化工学院李东升教授入选，为我校学者的首次入围。 “中国高被引学者”榜单由爱思唯尔与上海软科教育信息咨询有限公司联合发布，至2022年已发布8次，受到国内外众多媒体和学者高度关注。爱思唯尔2021“中国高被引学者榜单”以全球权威的引文与索引数据库Scopus作为中国学者科研成果统计来源，采用了上海软科教育信息咨询有限公司开发的方法，在2021年的榜单制作过程中，增加了更多维度的学者观测指标，并且优化了学者学科归属和相应判定的方法。 上一条：学校水资源管理研究团队​多名研究生在中国水论坛上交流发言 下一条：《中国土家族大百科全书》出版发行 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
《中国土家族大百科全书》出版发行,https://syw.ctgu.edu.cn/info/1123/43488.htm,2022-04-15,China Three Gorges University,Science,"""Chinese Land Family Encyclopedia"" published",本网讯（通讯员 彭娟）近日，由三峡大学民族学科研团队主持编纂、我国首部全面反映土家族历史文化和现实发展的综合性图书《中国土家族大百科全书》付梓出版。该书入选“十三五”国家重点图书出版规划项目，也是学校民族学科研团队十年集体攻关的重大、标志性成果。 该书在湖北省民宗委的组织领导下，自2011年正式启动编纂工作，历时十载竣工，获国家出版基金资助，是学校有史以来主持编纂的规模最大的出版工程之一。中南民族大学、湖北民族大学、吉首大学、长江师范学院、铜仁学院及全国100余名土家族研究学者参加了全书的编纂。  全书由湖北人民出版社出版，分为上、中、下三册，收录词条8485条，近400万字。内容涵盖地理、历史、民族、经济、民间信仰和宗教、语言、文学、艺术、科学研究、文化事业、教育、医疗卫生和体育游艺、民俗、文物古迹、古籍文献、人物等十六大门类。 全书收录内容时间上起于远古，止于2012年底，有少量延伸至2018年，也有少量词条内容因资料来源有限，截止期较早；空间上包括经国家批准成立的土家族自治地方，土家族人口较多的县（市、区）、土家族乡或土家族与其他民族联合的乡，以及经认定的土家族村。 全书的出版，既有利于保护和传承土家族优秀传统文化、推动中华优秀传统文化创造性转化和创新性发展、促进各民族交往交流交融、铸牢中华民族共同体意识，也有助于支撑学校“双一流”学科建设。 上一条：三峡大学学者入选爱思唯尔“中国高被引学者” 下一条：中共宜昌市委党校到校交流研讨智库合作 Copyright © 三峡大学索源网 版权所有 主管：三峡大学党委宣传部地址：湖北省宜昌市大学路8号　邮编：443002
