titre,lien,date,université,tag,traduction auto,contenu
学校与荆州区签署5个合作协议,http://news.yangtzeu.edu.cn/info/1002/30285.htm,2022-03-14,Yangtze University,Institution,The school signed 5 cooperation agreements with Jingzhou District,新闻网讯（记者 李胜杰）3月11日下午，学校与荆州区在荆州区委会议室签署合作协议，进一步深化校地合作，促进共同发展。
使命必达  学校与职能部门和学院签订目标管理责任制任务书,http://news.yangtzeu.edu.cn/info/1002/30264.htm,2022-03-10,Yangtze University,Institution,The mission must signed a target management responsibility system task book with the functional department and the college,新闻网讯（记者 康群/文 刘健/摄）使命在肩，使命必达。3月9日，随着学校与职能部门、学院2022年目标管理责任制任务书的签订，12教405报告厅洋溢着一种斗志，传递着一种信念，“我们将发扬拼抢实精神，主动作为，全力以赴”，表态发言掷地有声。
许明标教授当选荆州市首届“金凤杰出人才”,http://news.yangtzeu.edu.cn/info/1002/30253.htm,2022-03-08,Yangtze University,Institution,"Professor Xu Mingbiao was elected as the first ""Golden Fengjie Outstanding Talent"" in Jingzhou",新闻网讯（记者 康群）3月8日，荆州市委创新发展暨首届人才工作会议公布了荆州市首届“金凤杰出人才”评选结果，许明标等10人光荣当选。
吴锦在荆州市支持长江大学“双一流”建设现场办公会上强调：深化校地合作，共谋融合发展,http://news.yangtzeu.edu.cn/info/1002/30225.htm,2022-03-03,Yangtze University,Institution,"Wu Jin emphasized at the office of the ""Double First -class"" construction site in Jingzhou City to support the Yangtze University University of China: deepen school -land cooperation and conspiracy to integrate and develop",3月2日，市委书记吴锦在荆州市支持长江大学“双一流”建设现场办公会上强调，要以“双一流”建设为契机，深化校地合作，共谋融合发展，为荆州加快建设鄂中省域区域性中心城市赋能添彩。
“5384”行动计划  护航“清廉长大”建设,http://news.yangtzeu.edu.cn/info/1002/30215.htm,2022-03-01,Yangtze University,Institution,"""5384"" Action Plan to escort the construction of ""Growing up and grow up""",新闻网讯（记者 康群/文 刘健/摄）“清廉长大”建设是学校全面从严治党向纵深发展的主题和主线。如何推进“清廉长大”建设？2月28日，在大礼堂举行的长江大学纪委二届二次全会上，纪委书记刘靖君从监督的角度，结合事例、现象和数据，进行了深度阐述，明确提出20条工作举措，即“5384”行动计划。
聚焦“两个安全” 端牢“两个饭碗” 长江大学紧盯粮食能源“做文章”,http://news.yangtzeu.edu.cn/info/1002/30200.htm,2022-02-27,Yangtze University,Institution,"Focusing on the ""two security"", ""two rice bowls"" Yangtze University keeps paying attention to food and energy ""making articles""",记者 康群
“四新”建设持续推进  长江大学获增三个本科专业,http://news.yangtzeu.edu.cn/info/1002/30198.htm,2022-02-25,Yangtze University,Institution,"The construction of ""Four New"" continues to promote three undergraduate majors from Yangtze University",新闻网讯 近日，教育部公布了2021年度普通高等学校本科专业备案和审批结果，我校申报的数据计算及应用、量子信息科学、智慧农业等3个新兴本科专业获批设置。
长江大学喜获国家级首批虚拟教研室建设试点项目,http://news.yangtzeu.edu.cn/info/1002/30172.htm,2022-02-22,Yangtze University,Institution,Changjiang University has won the first batch of national virtual teaching and research room construction pilot projects,新闻网讯 近日，教育部公布了首批虚拟教研室建设试点名单，地球物理与石油资源学院毛宁波教授主持的“地震勘探课程虚拟教研室”成功入选。
中共长江大学委员会二届三次全体会议召开,http://news.yangtzeu.edu.cn/info/1002/30140.htm,2022-02-21,Yangtze University,Institution,The third session of the second session of the Changjiang University Committee of the Communist Party of China was held,新闻网讯 2月18日，校党委常委会在主教1401会议室主持召开中共长江大学委员会二届三次全体会议。
学校部署2022年重点工作 发出干事创业动员令,http://news.yangtzeu.edu.cn/info/1002/30129.htm,2022-02-19,Yangtze University,Institution,The school deployed 2022 key tasks issued a business mobilization order,新闻网讯（记者 康群/文 刘健/摄）踔厉奋发向未来，虎虎生威开新局。2月18日，新学期伊始，学校在12教405报告厅召开会议，部署2022年学校重点工作，发出干事创业动员令，号召拿出“龙腾虎跃”的气势，以拼的姿态迎接新挑战；拿出“猛虎出山”的态势，以抢的劲头把握新机遇；拿出“生龙活虎”的干劲，以实的韧性取得新突破。
学校党委召开党史学习教育专题民主生活会,http://news.yangtzeu.edu.cn/info/1002/30109.htm,2022-01-27,Yangtze University,Institution,The party committee of the school holds the Democratic Life Meeting of the Party History Study and Education,新闻网讯（通讯员 尹小华）根据中央部署和省委、市委有关通知要求，1月26日晚上7点，学校党委在6教205会议室召开校党委领导班子党史学习教育专题民主生活会。市委党史学习教育办公室第十巡回指导组组长、市委教育工委副书记、教育局副局长刘立富，第十巡回指导组联络员、市教育局直属机关党委副书记王强全程指导。会议由校党委书记王建平主持。
长江大学位列2022校友会中国大学排名第144位,http://news.yangtzeu.edu.cn/info/1002/30103.htm,2022-01-25,Yangtze University,Institution,Yangtze University ranks 144th in China University of 2022 Alumni Association China University,新闻网讯（通讯员 李喜成）1月25日，全国第三方大学评价机构艾瑞深校友会网(Cuaa.Net)正式发布《2022校友会中国大学排名》，这是该机构连续第20年发布校友会中国大学排名，长江大学位列第144位，比2021年进位10名，在湖北省属高校中排名第二。
我校2021年度专业技术职务高评委会举行,http://news.yangtzeu.edu.cn/info/1002/30094.htm,2022-01-22,Yangtze University,Institution,High jury of the 2021 professional and technical positions of our school was held,新闻网讯（记者 晏亮）根据长江大学职称改革与评聘工作领导小组的意见，1月21日上午，学校在11教报告厅举行2021年度高级职务评审委员会会议。会议对2021年度学校晋升高级专业技术职务任职资格进行了集体评审和表决。
我校与沙市区签订“1+4”战略合作协议,http://news.yangtzeu.edu.cn/info/1002/30085.htm,2022-01-18,Yangtze University,Institution,"Our school signed a ""1+4"" strategic cooperation agreement with Shashi District",新闻网讯（记者 晏亮 通讯员 陈月蔷）1月17日下午，我校与沙市区签署校地战略合作协议，进一步拓宽合作领域，建立全方位、深层次的合作机制。本次校地合作涵盖产业发展、科技创新、社会治理、文化建设等多个领域，校地双方将在决策咨询与规划设计、人才培养与交流、项目研究与学术交流、共建创新创业平台等方面开展全方位合作。
学校召开党史学习教育总结会议,http://news.yangtzeu.edu.cn/info/1002/30072.htm,2022-01-15,Yangtze University,Institution,The school holds a meeting of party history learning and education summary meeting,新闻网讯（记者 张晨露/文 刘健/摄）1月14日下午，学校在12教405报告厅召开党史学习教育总结会议，全面回顾总结学校党史学习教育的做法成效，部署巩固拓展党史学习教育成果。校党委书记、党史学习教育领导小组组长王建平作学校党史学习教育总结报告并强调，学校党委将始终坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻习近平总书记重要讲话精神和党的十九届六中全会精神，学深悟透党的创新理论，大力弘扬伟大建党精神，坚守初心、勇担使命，巩固拓展党史学习教育成果，以扎实学习成效持续从百年党史中汲取奋进新征程的强大力量，全面推动学校事业高质量发展，加快建设国内一流综合性大学，以实际行动和优异成绩迎接党的二十大胜利召开。
促校地合作共赢 我校与江陵县签署战略合作协议,http://news.yangtzeu.edu.cn/info/1002/30066.htm,2022-01-13,Yangtze University,Institution,Promoting school -land cooperation and win -win situation with Jiangling County signed a strategic cooperation agreement with Jiangling County,新闻网讯（记者 李胜杰）为进一步促进校地合作，1月12日，我校与江陵县签署战略合作协议，双方将围绕新能源新材料、现代农业、精细化工等多个领域开展深度合作。
荆州“两会”闭幕  听听会上的长大声音,http://news.yangtzeu.edu.cn/info/1002/30035.htm,2022-01-10,Yangtze University,Institution,"Jingzhou's ""Two Sessions"" closing the sound of growing up at the meeting",新闻网讯（记者 李胜杰）近日，荆州市六届人大一次会议和荆州市政协六届一次会议胜利闭幕，会场上活跃着众多长大人的身影。今年的两会上，又发出了哪些长大声音呢？
在发展中砥砺前行——2022年新年献词,http://news.yangtzeu.edu.cn/info/1002/29982.htm,2021-12-31,Yangtze University,Institution,Move forward in the development -New Year's Consultation in 2022,亲爱的老师们、同学们、校友们、朋友们：
长江大学2021年十大新闻,http://news.yangtzeu.edu.cn/info/1002/29983.htm,2021-12-30,Yangtze University,Institution,Top Ten News of Changjiang University in 2021,1、把红色基因注入血脉，学校党史学习教育扎实深入。学校积极探索创新党史学习教育形式，从学思践悟行等多个角度切入，在全校营造出“处处有课堂、时时被熏陶、人人受教育”的浓厚氛围，师生参与率达到100%，“为师生办实事”440件。
学校党委召开省委巡视整改专题民主生活会,http://news.yangtzeu.edu.cn/info/1002/29981.htm,2021-12-29,Yangtze University,Institution,The school party committee held a special democratic life meeting of the provincial party committee inspection and rectification.,新闻网讯 按照省委巡视整改有关工作要求，12月23日下午，学校党委在6教205会议室召开省委巡视整改专题民主生活会。省纪委监委第八监督检查室副主任蒋斌到会全程指导。学校党委班子全体成员参加会议。会议由学校党委书记王建平主持。
安委会召开会议 研究部署平安校园建设工作,http://news.yangtzeu.edu.cn/info/1003/30631.htm,2022-05-03,Yangtze University,Science,The Safety Committee held a meeting to study and deploy the construction of Ping An Campus,"新闻网讯 4月29日上午,学校在东校区6教205会议室召开学校安全委员会（以下简称安委会）会议，研究部署平安校园建设工作。党委书记王建平参加会议并讲话，党委副书记、校长冯征主持会议。"
我校参加2022年中国高等教育国际招生线上展,http://news.yangtzeu.edu.cn/info/1003/30619.htm,2022-04-29,Yangtze University,Science,Our school participated in 2022 China Higher Education International Admissions Online Exhibition,新闻网讯（通讯员 王俊耀 伍廉松）为应对疫情对国际合作教育带来的挑战，加强国际学生招生宣传，4月28日，我校参加2022年中国高等教育国际招生线上展，以全英文直播形式向全球推荐学校国际教育工作。这是我校继参加2021年中国国际教育线上展、欧洲国际教育协会线上教育展后，再次以云直播形式面向全球开展的招生宣讲活动。
吴理民同学荣获2022年“荆州青年五四奖章”,http://news.yangtzeu.edu.cn/info/1003/30608.htm,2022-04-28,Yangtze University,Science,"Wu Limin was awarded the ""Jingzhou Youth May 4th Medal"" in 2022",新闻网讯（通讯员 何儒权）近日，2022年“荆州青年五四奖章”获得者名单公布，城市建设学院研二学生吴理民名列其中。
校友周心怀任中国海洋石油集团有限公司副总经理、党组成员,http://news.yangtzeu.edu.cn/info/1003/30607.htm,2022-04-28,Yangtze University,Science,"Alumni Zhou Xinhuai is appointed Deputy General Manager of China Ocean Petroleum Group Co., Ltd.",新闻网讯 据中国海油集团官网信息，校友周心怀履新中国海洋石油集团有限公司副总经理、党组成员。
省卫健委调研我校医学拔尖人才工作,http://news.yangtzeu.edu.cn/info/1003/30597.htm,2022-04-27,Yangtze University,Science,The Provincial Health and Health Commission investigates the work of our school's top -tipped talents,新闻网讯（通讯员 赵静）4月25日下午，湖北省卫生健康委员会人事处二级调研员徐强勇、人才中心崔小雅，武汉大学人民医院张振涛一行3人到医学部调研我校医学拔尖人才培养工作。副校长、医学部部长毛精华，人事处、科技处等负责人参与调研。
智慧校园：未来已来 拥抱未来,http://news.yangtzeu.edu.cn/info/1003/30590.htm,2022-04-26,Yangtze University,Science,Smart Campus: The future has come to embrace the future,记者 吴俊
学校召开研讨会  加快推进省部共建工作,http://news.yangtzeu.edu.cn/info/1003/30581.htm,2022-04-25,Yangtze University,Science,The school holds a seminar to accelerate the co -construction of the provincial and ministerial and the Ministry of Ministry,新闻网讯（通讯员 吴霞）如何加快落实推进省部共建工作？4月24日，湖北省人民政府与农业农村部共建长江大学工作研讨会在农学院召开。副校长吕一兵，发展规划处、科技处、农学部负责人参加研讨会。
我校与沙市区签约共建“长江大学沙市附属中学”,http://news.yangtzeu.edu.cn/info/1003/30561.htm,2022-04-23,Yangtze University,Science,"Our school signed a contract with Sha City to jointly build a ""Affiliated Middle School in Shashi University in Changjiang University""",新闻网讯（记者 汤慧珍）为进一步深化校地合作、助推荆州基础教育优质均衡发展，4月22日下午，我校与沙市区共建“长江大学沙市附属中学”签约仪式在该区行政服务中心2楼会议室举行。校党委副书记、副校长杜国锋，校友工作与对外联络处、教育与体育学院主要负责人，沙市区委书记黄勇，区领导刘俊平、李程云、代晓娟、吴爱莲、黄望星及区教育局主要负责人出席签约仪式。
学校召开党建工作会议 交流经验 部署党建和思想政治工作,http://news.yangtzeu.edu.cn/info/1003/30560.htm,2022-04-22,Yangtze University,Science,The school holds the exchange experience of party building work conferences to deploy party building and ideological and political work,新闻网讯（记者 李胜杰）4月22日下午，学校在就业指导中心召开党建工作会议，交流经验，通报情况，部署工作。党委书记王建平，党委副书记、副校长杜国锋，党委副书记敖廷华，党委常委、副校长周从标，党委常委、组织部部长兼统战部部长李应军，党委常委、宣传部部长江万哲参加会议。
企业需求就是研究方向——日内瓦发明展银奖诞生记,http://news.yangtzeu.edu.cn/info/1003/30551.htm,2022-04-22,Yangtze University,Science,The needs of the enterprise are the research direction -the birth of the silver award of Geneva invention exhibition,记者 李胜杰
学校部署2022年国际学生招生工作,http://news.yangtzeu.edu.cn/info/1003/30552.htm,2022-04-22,Yangtze University,Science,School deployment in 2022 international students enrollment work,新闻网讯（通讯员 王俊耀 伍廉松）4月21日上午，我校2022年国际学生招生工作部署会以线上线下形式召开。副校长周思柱，教务处、研究生院招生工作负责人、各学院（部）分管外事领导及外事秘书、国际学生硕博士生导师代表等参加会议。
我校获批9项教育部第一期供需对接就业育人项目,http://news.yangtzeu.edu.cn/info/1003/30541.htm,2022-04-21,Yangtze University,Science,Our school was approved by the first phase of the Ministry of Education for the employment and education project,新闻网讯 日前，教育部第一期供需对接就业育人项目名单公布，我校7个就业实习基地项目及2个人力资源提升项目获准立项。
形成合力 迎难而上 能源学部召开学科建设研讨会,http://news.yangtzeu.edu.cn/info/1003/30539.htm,2022-04-21,Yangtze University,Science,Formed a joint effort to meet the difficulties and attend the Ministry of Energy to hold a seminar on discipline construction,新闻网讯（通讯员 程玲）4月19日下午，能源学部在武汉校区石油科技大楼C区201会议室召开学科建设研讨会，武管会相关负责人和能源学部各学院院长、党委书记、分管学科建设的副院长参加会议，会议由能源学部常务副主任、地球科学学院院长胡明毅主持。
强健体魄  锤炼意志 学校召开体委工作会议,http://news.yangtzeu.edu.cn/info/1003/30536.htm,2022-04-20,Yangtze University,Science,Strong physique to refine the will of the will to hold the work committee of the Sports Committee,新闻网讯 4月19日上午，学校体育运动委员会在6教205会议室召开会议，学校体委成员单位负责人与会。党委副书记、副校长、体育运动委员会主任杜国锋参加会议并讲话。
学校举办国家安全教育系列活动   ,http://news.yangtzeu.edu.cn/info/1003/30534.htm,2022-04-20,Yangtze University,Science,The school organizes a series of national security education activities,新闻网讯（学生记者 李盼/文 见习记者 李霜艳 刘茜 唐敏/摄）今年4月15日是第七个全民国家安全教育日，为增强学校师生的国家安全意识，维护国家安全营造良好法治氛围，4月14日至4月20日，我校集中开展国家安全宣传教育活动。
共克时艰 我校20吨新鲜蔬菜驰援同济大学,http://news.yangtzeu.edu.cn/info/1003/30524.htm,2022-04-19,Yangtze University,Science,"During the total of the hard work of the university, the university's 20 -ton fresh vegetables will assist Tongji University",新闻网讯（通讯员 周俊）4月18日上午8时，从上海传来消息，我校捐赠的20吨新鲜蔬菜已顺利抵达同济大学。
学校召开思想政治工作领导小组和意识形态工作领导小组会议,http://news.yangtzeu.edu.cn/info/1003/30514.htm,2022-04-18,Yangtze University,Science,The school holds a meeting of the leading group of ideological and political work and ideological work leadership group,新闻网讯（记者 汤慧珍）4月15日，学校在6教205会议室召开思想政治工作领导小组和意识形态工作领导小组会议，研究部署近期思想政治和意识形态工作。校领导王建平、冯征、敖廷华、刘靖君、李应军、江万哲出席会议，领导小组成员单位负责人参加会议。
校纪委监督检查学校乡村振兴驻村工作,http://news.yangtzeu.edu.cn/info/1003/30510.htm,2022-04-17,Yangtze University,Science,School Discipline Inspection Commission Supervisory and Inspection of the School of the School Rural Revitalization Resident Village,新闻网讯 4月13日，校党委常委、纪委书记、监察专员刘靖君带队赴兴山县郑家埫村开展乡村振兴工作调研，对我校驻村工作队工作开展监督检查。
亿穗生态向我校捐赠30万元,http://news.yangtzeu.edu.cn/info/1003/30509.htm,2022-04-15,Yangtze University,Science,"Yisui Ecology donated 300,000 yuan to our school",新闻网讯（通讯员 胡薇）4月14日，湖北亿穗生态农业有限公司向我校捐赠30万元。该公司总经理李军表示，此举是公司关注学校人才和技术发展的重要举措，希望激励学子成长成才、报效国家。
我校参加部省高校共建新文科“社会治理法学”专业启动会,http://news.yangtzeu.edu.cn/info/1003/30504.htm,2022-04-15,Yangtze University,Science,"Our school participated in the starting meeting of the major and universities and universities to jointly build a new liberal arts ""social governance law"" major",新闻网讯 4月14日，部省高校共建新文科“社会治理法学”专业启动会在中南财经政法大学召开。副省长肖菊华，省教育厅、省发改委、省财政厅相关负责人及中南财经政法大学、湖北大学等高校80余人参加会议。会议由省教育厅党组书记、厅长陶宏主持。校长冯征参加会议并讲话。
徐用高老师捐赠5万元设立助学金,http://news.yangtzeu.edu.cn/info/1003/30503.htm,2022-04-15,Yangtze University,Science,"Teacher Xu Yonggao donated 50,000 yuan to set up a school aid",新闻网讯（通讯员 胡薇）4月14日下午，计科学院教师、武汉翼捷医药技术有限公司总经理徐用高向学校捐赠5万元设立助学金。
长江大学财经委员会2022年第一次会议举行,http://news.yangtzeu.edu.cn/info/1003/30497.htm,2022-04-13,Yangtze University,Science,The First Meeting of the Finance and Economics Committee of Changjiang University was held in 2022,新闻网讯 4月7日上午，学校在6教205会议室召开了长江大学财经委员会2022年第一次会议，财经委员会主任、校长冯征，财经委员会成员单位负责人等参加会议，会议由财经委员会副主任、副校长毛精华主持。
长江大学荣获第十七届全国“挑战杯”进步显著奖并受邀参加云端展示,http://news.yangtzeu.edu.cn/info/1003/30494.htm,2022-04-13,Yangtze University,Science,"Changjiang University won the 17th National ""Challenge Cup"" Progress Award and was invited to participate in the cloud display",新闻网讯（通讯员 信晓阳）4月12日，第十七届“挑战杯”全国大学生课外学术科技作品竞赛闭幕式暨“科创先行 强国有我”网络主题活动在四川大学举行。
学校纪委举办纪检监察干部业务培训班,http://news.yangtzeu.edu.cn/info/1003/30489.htm,2022-04-12,Yangtze University,Science,The School Discipline Inspection Commission holds the business training course for disciplinary inspection and supervision cadres,新闻网讯（记者 李胜杰）为认真学习贯彻十九届中央纪委六次全会、省纪委十一届六次全会精神，按照上级纪委监委加强纪检监察干部队伍建设和全员培训的要求，进一步提升学校纪检监察干部队伍专业素质，推动学校纪检监察工作高质量发展，4月8日全天，学校纪委在11教报告厅举办纪检监察干部业务培训班，校纪委委员，各二级党组织书记、纪检委员，机关各党支部纪检委员，校纪委监察专员办全体干部参加学习培训。
学校召开加强同级监督、政治生态分析研判工作布置会,http://news.yangtzeu.edu.cn/info/1003/30483.htm,2022-04-09,Yangtze University,Science,"The school convens to strengthen supervision of the same level, political ecological analysis research and judgment work layout meeting",新闻网讯（记者 李胜杰）4月8日，学校在11教报告厅召开专题会议，对加强同级监督、政治生态分析研判工作（简称“两翼”工作）进行布置。校党委书记王建平参加会议并讲话，校党委常委、纪委书记、监察专员刘靖君布置“两翼”工作，校纪委委员，各二级党组织书记、纪检委员，机关各党支部纪检委员，校纪委监察专员办全体干部参加会议。
共享成果 互帮互学  研究生辅导员沙龙活动举行,http://news.yangtzeu.edu.cn/info/1003/30471.htm,2022-04-08,Yangtze University,Science,Sharing results mutual help mutual study counselor salon activities were held,新闻网讯（通讯员 向柳青 方晓蕾）4月7日下午，第1期“周四下午茶”研究生辅导员沙龙活动在兰台书院举行。党委副书记、副校长杜国锋、华中科技大学光学与电子信息学院老师张虎、机械科学与工程学院老师曾峥、研工部相关老师以及全校研究生辅导员参加活动。
“挑战杯”成绩优异    团省委发来感谢信,http://news.yangtzeu.edu.cn/info/1003/30458.htm,2022-04-07,Yangtze University,Science,"The ""Challenge Cup"" results of the outstanding Youth League provincial party committee sent a thank you letter",新闻网讯（通讯员 信晓阳）近日，学校收到团省委发来的感谢信，对我校在第十七届“挑战杯”全国大学生课外学术科技作品竞赛中取得成绩表示充分肯定，对我校领导对共青团工作的高度重视表示衷心感谢。
学校纪委召开2022年第二次纪委委员会议,http://news.yangtzeu.edu.cn/info/1003/30444.htm,2022-04-02,Yangtze University,Science,The School Discipline Inspection Commission held the Second Discipline Inspection Commission of 2022,新闻网讯 3月31日下午，学校纪委在6教316会议室召开第二届纪委2022年第二次委员会议，校党委常委、纪委书记、监察专员刘靖君主持会议并讲话。校纪委委员出席会议，校纪委、监察专员办公室内设处室负责人列席会议。
学校通报养老保险改革进展情况,http://news.yangtzeu.edu.cn/info/1003/30443.htm,2022-04-02,Yangtze University,Science,The school reports the progress of pension insurance reform,新闻网讯（记者 李胜杰）4月2日，学校在12教405报告厅通报养老保险改革进展情况。党委副书记敖廷华，党委常委、副校长周从标，党委常委、组织部部长兼统战部部长李应军，机关部门负责人、各学院分党委书记、老同志代表、教代会执委会成员等参加通报会。周从标主持会议。
冯征受邀参加2022中国湖北-南亚高校校长论坛并作主旨发言,http://news.yangtzeu.edu.cn/info/1003/30439.htm,2022-04-02,Yangtze University,Science,Feng Zheng was invited to participate in the 2022 Hubei-South Asian University President Forum and made a keynote speech,新闻网讯 4月1日，由省教育厅主办、三峡大学承办的第二届中国湖北-南亚高校校长论坛暨湖北-南亚大学联盟第二次会议采用线上线下结合的方式举办。校长冯征受邀出席会议作主旨发言并主持分论坛活动。
校领导与挑战杯特等奖团队师生座谈,http://news.yangtzeu.edu.cn/info/1003/30434.htm,2022-04-01,Yangtze University,Science,School leaders and challenge cups and other awards team teachers and students discussions,新闻网讯（记者 晏亮/文 李嘉伟/摄）3月31日，党委书记王建平、校长冯征在机械工程学院会议室亲切会见了“挑战杯”特等奖团队师生，并与他们座谈。
以振兴为题  校领导进乡村话发展,http://news.yangtzeu.edu.cn/info/1002/29962.htm,2021-12-27,Yangtze University,Institution,The leaders of the school with the title of revitalization entered the rural dialect,新闻网讯（记者 康群/文 吴俊/摄）时近新年，郑家埫村发展怎样？带着这份牵挂，12月24日，党委书记王建平，校长冯征，党委常委、组织部部长兼统战部部长李应军赶赴兴山，在海拔千米的村委会会议室，与当地各级负责人话发展论振兴。
王建平参加兴山县2022年定点帮扶与区域协作工作联席会议,http://news.yangtzeu.edu.cn/info/1003/30417.htm,2022-03-31,Yangtze University,Science,Wang Jianping participated in the joint meeting of assistance and regional collaboration work in Xingshan County in 2022,新闻网讯 3月30日，兴山县2022年定点帮扶与区域协作工作联席会议在兴山召开。湖北省政协副主席杨玉华出席会议，省住建厅厅长张文彤主持会议。
助力智慧春耕 农学院卢碧林教授带技术入田头,http://news.yangtzeu.edu.cn/info/1003/30411.htm,2022-03-30,Yangtze University,Science,Helping Wisdom Spring Pilliatrics College Lu Bi Lin Professor,新闻网讯（记者 李胜杰）田间有机器翻动泥土，天上有无人机轻轻盘旋，地头有工人操纵飞行……3月29日，荆州市观音垱镇丫角村金穗家庭农场呈现一片春耕景色。
