titre,lien,date,université,tag,traduction auto,contenu
学校召开校党委理论学习中心组（扩大）会议,http://news.wit.edu.cn/info/1039/48639.htm,2022-04-13 00:00:00,Wuhan Institute of Technology,Institution,School convened the school party committee theory learning center group (expand) meeting,本网讯（通讯员 王媛）4月12日上午，学校召开校党委理论学习中心组（扩大）会议，集体学习研讨习近平总书记关于网络强国的重要思想，中央和省委关于党委（党组）落实网络意识形态工作责任制的部署要求，以及省网络安全和信息化委员会第二次、第三次会议精神等内容。校党委书记程幼金主持会议并讲话。
学校民盟主委陈波参与共建恩施州美丽乡村,http://news.wit.edu.cn/info/1039/48634.htm,2022-04-13 00:00:00,Wuhan Institute of Technology,Institution,"Chen Bo, the Ministry of Education, Mr. Chen Bo participated in the beautiful countryside",本网讯（通讯员 陈波 王敏）3月29日至4月2日，民盟武汉工程大学委员会主委陈波受邀，为恩施州白果乡下村坝村进行“白果乡韵·山村新颜”微景观改造。
校领导接待日：建校半百展芳华 同心逐梦再出发,http://news.wit.edu.cn/info/1039/48628.htm,2022-04-12 00:00:00,Wuhan Institute of Technology,Institution,School leadership reception day: Building a half hundred exhibition Fanghua concentric dream again,本网讯（通讯员 吴蓓 刘信权）4月11日下午，本学期第一次校领导接待日活动在钟楼第二会议室举行。校党委书记程幼金出席本次活动。活动由党政办公室主任但继恩主持。
洪山区领导来校检查指导疫情防控工作,http://news.wit.edu.cn/info/1039/48625.htm,2022-04-11 00:00:00,Wuhan Institute of Technology,Institution,Leaders of Hongshan District come to school to inspect and guide the prevention and control of the epidemic,本网讯（通讯员 肖平）4月10日上午，洪山区人大常委会副主任张再强、政协副主席李运玲一行到我校武昌校区检查指导疫情防控工作，校党委副书记李志旭陪同检查。
资源与安全工程学院以多种形式开展读书分享活动,http://news.wit.edu.cn/info/1043/48693.htm,2022-04-22 00:00:00,Wuhan Institute of Technology,Science,Resources and Safety Engineering Institute in a variety of forms of reading sharing activities,本网讯（通讯员 郑浩然）4月21日，资源与安全工程学院在领创大楼419会议室举办了“热风杯”书香工大、馨享阅读读书分享会。学院党委副书记李佳、全体辅导员以及学院读书爱好者共30余人参加了本次分享会。
武汉工大资产经营管理有限公司直属党支部召开理论学习中心组（扩大）会议,http://news.wit.edu.cn/info/1043/48691.htm,2022-04-22 00:00:00,Wuhan Institute of Technology,Science,"Wuhan University Assets Management Co., Ltd. directly under the party branch held the theoretical center group (expanded) meeting",
土木工程与建筑学院党委开展专题学习研讨,http://news.wit.edu.cn/info/1043/48688.htm,2022-04-22 00:00:00,Wuhan Institute of Technology,Science,The party committee of civil engineering and architecture conducts special study seminars,本网讯（通讯员 项勤）为深入学习贯彻习近平总书记关于网络强国的重要思想，牢牢掌握网络意识形态工作的领导权主动权，建强主流新媒体，唱响网上主旋律，做强网络正面宣传，筑牢网络安全防线，提高管网治网水平，土建学院党委4月21日在学院会议室213召开理论学习中心组会议，专题学习研讨《省委网络安全和信息化委员会会议（第二次）》、《省委网络安全和信息化委员会会议（第三次）》和《关于推动党史学习教育常态化长效化的意见》。学院党委书记陆新主持会议。
国际学院开展2022年宗教政策法规专题学习教育活动,http://news.wit.edu.cn/info/1043/48686.htm,2022-04-21 00:00:00,Wuhan Institute of Technology,Science,International College launched 2022 religious policies and regulations,本网讯（通讯员 王黎）为深入学习贯彻习近平总书记关于宗教工作的重要论述，加强中国特色社会主义宗教理论、党的宗教政策和国家有关法律法规的学习宣传，提升国际学院教师宗教政策法规的意识，4月21日上午，学院开展了以“宗教政策法规与留学生管理”为主题的宗教专题学习活动。 
创新创业学院助推学院创新创业教育工作,http://news.wit.edu.cn/info/1043/48687.htm,2022-04-21 00:00:00,Wuhan Institute of Technology,Science,Innovation Entrepreneurship Assistance Academy Innovative Entrepreneurship Education,本网讯（通讯员 邓博纳）4月20日下午，资源与安全工程学院创新创业中心联合土建学院召开创新创业教育专题研讨会，会议在领创大楼419举行。学校创新创业学院相关负责人，资源与安全工程学院及土建学院部分领导班子成员、两院教研室主任、教师代表参加会议。
资源与安全工程学院举办首届“相倚为强”研究生就业经验交流会,http://news.wit.edu.cn/info/1043/48681.htm,2022-04-21 00:00:00,Wuhan Institute of Technology,Science,"The Safety Engineering Institute held the first ""reliable"" graduate empirical exchange meeting",本网讯（通讯员 王耀眉 刘海涛）为深化学院党史学习教育“我为群众办实事”活动成效，充分发挥优秀毕业生榜样示范作用，激励引导广大学生树立正确的就业观，掌握学科就业技巧，4月19日下午，资源与安全工程学院在领创大楼419会议室组织召开首届“相倚为强”研究生就业经验交流会。本次交流会采用线上与线下相结合的形式开展，学院共计120余名研究生参加了本次会议。
环生学院续推招生就业工作,http://news.wit.edu.cn/info/1043/48671.htm,2022-04-19 00:00:00,Wuhan Institute of Technology,Science,The Academy of Endai continues to push enrollment employment,本网讯（通讯员 邓炜）4月19日下午，环境生态与生物工程学院在L4306会议室召开招生就业专题工作推进会，会议由院党委书记孔海霞主持，党委副书记郑冬洁、副院长赵喜红、李思悦、院长助理杨浩、各人才发展中心主任、副主任、研究生导师代表及辅导员参加了本次会议。
环生学院开展2022年“全民国家安全教育日”主题宣传教育系列活动,http://news.wit.edu.cn/info/1043/48666.htm,2022-04-19 00:00:00,Wuhan Institute of Technology,Science,"The Academy of Endocente has carried out the ""National Security Education Day"" theme publicity and education series activities in 2022",召开主题班（团）会
化药学院组织开展 “全民国家安全教育日”主题宣传教育活动,http://news.wit.edu.cn/info/1043/48661.htm,2022-04-18 00:00:00,Wuhan Institute of Technology,Science,"The Medicine Institute organized the ""National Security Education Day"" theme publicity and education activities",本网讯（通讯员 冯婧）4月15日是第七个全民国家安全教育日，为更好地践行总体国家安全观，培养学生对国家和国民身份的认同感，化工与制药学院在全院范围内开展以“树牢总体国家安全观，感悟新时代国家安全成就，为迎接党的二十大胜利召开营造良好氛围”为主题的全民国家安全宣传教育活动。
土木工程与建筑学院召开2022年毕业生就业工作推进会,http://news.wit.edu.cn/info/1043/48659.htm,2022-04-18 00:00:00,Wuhan Institute of Technology,Science,Civil Engineering and Architectural College held 2022 graduates employment work promotion meeting,本网讯（通讯员 曾学菲）为进一步做好2022年学院毕业生就业工作，强化就业服务“一把手工程”和“全员参与”保障机制。4月15日下午，土木工程与建筑学院在213会议室召开2022年毕业生就业工作推进会。院党委书记陆新出席会议，由院党委副书记成轶主持。
“疫”线绽放的法商“志愿红”,http://news.wit.edu.cn/info/1043/48651.htm,2022-04-15 00:00:00,Wuhan Institute of Technology,Science,"""The epidemic"" line blooms ""volunteer red""",本网讯（通讯员 章文杰）三月以来，为确保学校核酸检测工作的顺利开展，法商学院“1＋X”梦想直通车志愿服务队志愿者们主动请缨加入学校防疫志愿者队伍，在核酸检测现场开展志愿服务工作。在检测点，志愿者们身着红马甲奔波在防疫一线，协助秩序维护、流程指引、检测信息登记等工作。截至目前，参与核酸检测志愿服务达144人次，志愿服务时长累计达792小时。
土木工程与建筑学院启动“考研就业服务月”,http://news.wit.edu.cn/info/1043/48646.htm,2022-04-14 00:00:00,Wuhan Institute of Technology,Science,"Civil Engineering and Architecture Institute started ""postgraduate employment service month""",本网讯（通讯员 曾学菲）4月14日下午，学院在智慧学习中心411报告厅举行土木工程与建筑学院2022年“考研就业服务月”启动仪式暨“朋辈引航”考研就业故事分享会，学院党委副书记成轶，2018级、2019级城市与地下空间工程专业本科生参与活动，活动由学工办主任曾学菲主持。
环生学院党委召开党建工作会暨中心组专题理论学习,http://news.wit.edu.cn/info/1043/48638.htm,2022-04-13 00:00:00,Wuhan Institute of Technology,Science,The party committee of the College of Endochies held the party construction work conference and the central group,本网讯（通讯员 邓炜）4月12日，环境生态与生物工程学院在4306会议室召开本年度党建工作会议暨中心组（扩大）专题理论学习，传达学校党的建设工作领导小组会议精神，专题学习宗教政策法规，研究部署2022年度学院党建工作。学院全体党委委员参会，会议由学院党委书记孔海霞主持。
兴发矿业学院资源与安全工程学院夯实党建工作提升基层工作能力,http://news.wit.edu.cn/info/1043/48636.htm,2022-04-12 00:00:00,Wuhan Institute of Technology,Science,"Xingfa Mining Institute Resources and Safety Engineering, the construction of party building work to improve grassroots work",本网讯（通讯员 王耀眉）4月11日下午，兴发矿业学院资源与安全工程学院党委在领创大楼419会议室召开党支部书记专题培训工作会。学院党委书记路海华主持会议、党委副书记李佳，全体党支部书记及党务干事参加会议。
化药学院开展“青春献礼二十大，强国有我健身心”素质拓展活动,http://news.wit.edu.cn/info/1043/48627.htm,2022-04-11 00:00:00,Wuhan Institute of Technology,Science,"The Medicine College launched the quality expansion activities of ""20th National Great, I have a strong state of the country""",本网讯（通讯员 张小琪）在新冠肺炎疫情防控常态化下，为丰富大学生的校园文体生活，减少大学生对互联网的依赖，以昂扬向上的精神面貌喜迎党的二十大、庆祝学校建校50周年，落实学校“青春献礼二十大，强国有我新征程”主题教育实践活动实施方案，学院有“化”“药”说心理工作站倡导学生走出宿舍，走向操场，强身健体，拥抱自然。自3月15日至4月10日，化工与制药学院本科2021级学生以班级联合或分班举行的形式陆续开展总计14场心理健康素质拓展“追光”行动，实现本科2021级素质拓展走进班级、全员覆盖。
资源与安全工程学院“热风”党员先锋构筑校园防疫屏障,http://news.wit.edu.cn/info/1043/48626.htm,2022-04-10 00:00:00,Wuhan Institute of Technology,Science,"Resource and Safety Engineering ""Hot Wind"" Party A Pioneer Construction Campus Epidemic Prevention Barrier",本网讯（通讯员 王耀眉）4月9日下午，学校下发紧急核酸检测通知后，资源与安全工程学院党委快速反应、主动作为，迅速召集了一支由“热风”党员先锋队、学院青年志愿者组成30余人的核酸检测服务队，积极投身于武昌学校核酸检测工作中。
化药学院组织观看北京冬奥会、冬残奥会总结表彰大会,http://news.wit.edu.cn/info/1043/48614.htm,2022-04-09 00:00:00,Wuhan Institute of Technology,Science,"The Medicine College organizes the Beijing Winter Olympics, and the Winter Disabled Association summary commendation meeting",本网讯（通讯员 冯婧）北京冬奥会、冬残奥会总结表彰大会于4月8日上午在人民大会堂隆重举行。中共中央总书记、国家主席、中央军委主席习近平出席大会并发表重要讲话。化工与制药学院组织学生代表在大化工楼610报告厅集中观看北京冬奥会、冬残奥会总结表彰大会直播。化药学子积极关注大会动态，就关心的热点问题进行热烈讨论，交流所思所想。
机电工程学院开展学风建设月系列活动,http://news.wit.edu.cn/info/1043/48609.htm,2022-04-08 00:00:00,Wuhan Institute of Technology,Science,Electromechanical Engineering Institute carries out a series of student activities,本网讯（通讯员：何巧玲）为深入贯彻落实全国高校思想政治工作会议精神，坚持立德树人、育人为本的原则，切实做好学院学风建设工作，努力提高学生学习能力，帮助学生养成良好学习习惯，营造浓厚的学习氛围，促进学生全面发展、成长成才。根据学校《关于开展2022年“学风建设月”活动的通知》，结合学院学生实际情况，机电工程学院开展学风建设月系列活动。
我校乡村振兴研究院揭牌仪式暨乡村振兴高峰论坛成功举办,http://news.wit.edu.cn/info/1039/48616.htm,2022-04-10 00:00:00,Wuhan Institute of Technology,Institution,Our school's rural revitalization research institute unveiled ceremony and the rural revitalization peak forum successfully held,本网讯（通讯员 郭洪伟）4月8日上午，由武汉工程大学和武汉阳森生态农业有限公司联合主办的武汉工程大学乡村振兴研究院揭牌仪式暨乡村振兴高峰论坛在江夏区海洋村隆重举行。省教育厅副厅长、一级巡视员黎虹，省农业农村厅党组成员、总农艺师李顺清，省科技厅党组成员、副厅长刘治田，省经济和信息化厅二级巡视员雷培德，武汉市农业综合执法支队支队长王文高，江夏区区委副书记、政法委书记柳新，鄂州市梁子湖梁子镇党委书记张海山，华中师范大学中国农村研究院院长徐勇教授，武汉阳森生态农业有限公司董事长杨驰升，襄阳泽东化工集团董事局主席宋开荣，武汉万象春天实业集团董事长徐进，宜昌人福药业集团副总裁晏涛，武汉工程大学校长王存文，党委常委、副校长张彦铎，党委常委、副校长方文海，党委常委、科发院院长吴云韬出席揭牌仪式。 
资源与安全工程学院田昌贵教授团队接受湖北应急管理杂志专访,http://news.wit.edu.cn/info/1039/48596.htm,2022-04-06 00:00:00,Wuhan Institute of Technology,Institution,"Professor Tian Changgui, School of Resources and Safety Engineering, accepted an interview with Hubei Emergency Management Magazine",本网讯（通讯员 郑浩然）3月16日，湖北应急管理杂志记者对学院田昌贵教授就鄂东南矿区水害防治主题进行了专访，并在《湖北应急管理》聚焦栏目进行了大篇幅专题报道：《服务于社会，实现专家智力最大价值——武汉工程大学专家团队致力于鄂东南矿区水害防治》。
学校2022年五四红旗团委、十佳共青团干（教工）答辩评审会成功举行,http://news.wit.edu.cn/info/1039/48590.htm,2022-04-06 00:00:00,Wuhan Institute of Technology,Institution,"The school's 2022, the five-four red flag group committee, the Top Ten Communist Youth League (Teachers) Answers were successfully held",本网讯（通讯员 杨荣佳 龙艺璇）为迎接中国共产党二十大胜利召开，庆祝中国共产主义青年团成立100周年、学校建校50周年，集中展现我校基层团委活力，彰显青年团干风采，在五四来临之际，结合疫情防控要求，4月1日， 2022年五四红旗团委、十佳共青团干（教工）答辩评审会在计算机图灵报告厅成功举办。校党委副书记李志旭、学校相关部门负责人担任评委，共计15个学院代表参与答辩。
环生学院开展春季学期大学生心理健康教育专题讲座,http://news.wit.edu.cn/info/1043/48607.htm,2022-04-08 00:00:00,Wuhan Institute of Technology,Science,The College of Endocente teaches a special lecture on the mental health education of spring semester,本网讯（通讯员 王乃婧）为普及心理健康知识、提高学生心理调适能力、促进学生以最佳的状态面对学习和生活，环境生态与生物工程学院开展了大学生心理健康教育专题讲座，讲座邀请国家二级心理咨询师、浙江大学医学博士、校心理健康教育中心兼职教师葛超荣老师为学生开展《浅谈压力与情绪管理》的专题讲座，学院300余本科生、研究生通过线上和线下的形式参加了本次活动。
材料学院召开2022年全面从严治党专题会议暨学院党委理论学习中心组集中学习,http://news.wit.edu.cn/info/1043/48613.htm,2022-04-08 00:00:00,Wuhan Institute of Technology,Science,"The School of Materials held in 2022, comprehensively learned from the strict governance Party Conference and College Party Committee Theory Learning Center",本网讯（通讯员 熊兆胜男）4月7日，材料学院在A314会议室召开本年度全面从严治党专题会议暨学院党委理论学习中心组集中学习，传达学校党的建设工作领导小组会议、学校从严治党会议精神，学习学校落实全面从严治党主体责任实施办法，并研究部署2022年度学院党建工作。学院全体党委委员参会，会议由学院党委书记王涛主持。
电气信息学院、管理学院、材料学院联合开展研究生乒乓球联谊赛,http://news.wit.edu.cn/info/1043/48608.htm,2022-04-08 00:00:00,Wuhan Institute of Technology,Science,"School of Electrical Information, School of Management, School of Materials, jointly carry out graduate table tennis association",本网讯（通讯员 黄光亮 伍丹丹 李昊昱 方泾丞 王颖）为了丰富学生的校园文化生活，促进学院之间的沟通与交流，构建和谐校园文化氛围、为同学们搭建良好的互动交流平台。4月2日，由电气信息学院研究生会、管理学院研究生会以及材料学院研究生会联合举办的“乒乒乓乓、快乐健康”乒乓球联谊赛在电气大楼举行。本次比赛分在三个不同赛场同时举行，共分为男子单打、女子单打、男子双打、女子双打、混合双打五项，最终比拼出前四名。
国际学院留学生开展“践行志愿精神 共建和谐校园”志愿服务活动,http://news.wit.edu.cn/info/1043/48606.htm,2022-04-08 00:00:00,Wuhan Institute of Technology,Science,"International College Students carry out volunteer service activities ""practice volunteer spirit and build a harmonious campus""",本网讯（通讯员 王黎）为弘扬志愿服务精神，建设美丽校园。4月7日上午，国际学院组织留学生在武昌校区开展以“践行志愿精神共建和谐校园、Practice voluntary spirit Co-construct harmonious campus ”为主题的志愿服务活动，学院书记、院长李琼，副院长丁春毅带领部分党员教师参加了此次活动。 
材料学院开展疫情防控暨安全工作专项检查,http://news.wit.edu.cn/info/1043/48603.htm,2022-04-07 00:00:00,Wuhan Institute of Technology,Science,Materials College conducts epidemic prevention and control and safety work special inspection,本网讯（通讯员 张义强 柯贤忠）为确保教学科研工作平稳有序和师生员工安全，4月1日中午，学院召开疫情防控暨安全工作会，学院党委书记王涛传达了学校校园安全管理和近期疫情防控工作会议精神，对学院师生防疫安全、实验室安全、宿舍消防安全等方面的工作进行了安排部署。
计算机科学与工程学院 人工智能学院开展系列志愿服务活动,http://news.wit.edu.cn/info/1043/48601.htm,2022-04-07 00:00:00,Wuhan Institute of Technology,Science,"School of Artificial Intelligence, School of Computer Science and Engineering to carry out series of volunteer service activities",本网讯（通讯员 曹慧洁）为引领广大青年学生‍践‍行雷锋精神以及“奉献、友爱、互助、进步”的志愿精神，把崇高理想信念和道德品质追求转化为具体行动。学院全体团员青年积极行动，围绕‍社区电访、校园防疫、清洁校园等方面开展志愿服务活动，在校园内营造出爱心互助、和谐共进的良好氛围。
学校召开国际化教育工作推进会,http://news.wit.edu.cn/info/1039/48595.htm,2022-04-06 00:00:00,Wuhan Institute of Technology,Institution,School convened an international education work promotion meeting,本网讯（通讯员 凌晨）4月4日上午，学校召开国际化教育校际合作项目工作推进会，副校长喻发全主持会议。
我校国际处获邀参加“中国湖北-南亚大学联盟第二次大会”,http://news.wit.edu.cn/info/1039/48589.htm,2022-04-06 00:00:00,Wuhan Institute of Technology,Institution,"Our school is invited to participate in the ""China Hubei - South Asian University Union Second Conference""",本网讯（通讯员 凌晨）4月1日，国际交流与合作处处获邀通过网络视频参加由湖北省教育厅主办、三峡大学承办的“2022中国湖北-南亚大学联盟第二次会议”暨“2022中国湖北—南亚高校校长论坛”，听取湖北省政府领导、中外各高校大学领导就湖北与南亚各国开展高校国际教研合作、后疫情时代推进教育国际化等议题所做工作报告和主题演讲。
武汉市委统战部走访我校欧美同学会,http://news.wit.edu.cn/info/1039/48582.htm,2022-04-06 00:00:00,Wuhan Institute of Technology,Institution,Wuhan Municipal Party Committee Directorial Department visited our school European and American classmates,本网讯（通讯员 王敏）4月2日上午，武汉市委统战部二级巡视员胡素文、知工处处长陈茉、一级主任科员徐喆一行，到我校走访武汉市欧美同学会副会长、校党委常委、副校长张彦铎，并就加强市校工作联动与合作开展调研。校党委常委、统战部部长吴云韬、常务副部长卢宜青、办公室主任王敏参加调研。
资源与安全工程学院开展校情校史宣传教育活动,http://news.wit.edu.cn/info/1043/48599.htm,2022-04-07 00:00:00,Wuhan Institute of Technology,Science,Resources and Safety Engineering Institute to carry out school mathematical publicity and education activities,本网讯（通讯员 郑浩然）为更好地迎接我校50周年校庆，聚焦“五秩耕耘传薪火，砥砺奋进创一流”的主题，激发广大学生对学校的归属感、认同感和自豪感，近日，资源与安全工程学院组织开展了校情校史主题宣传教育活动，营造浓厚的知校爱校荣校氛围。
艺术设计学院学子在“第七届两岸新锐设计竞赛·华灿奖”中斩获多个奖项,http://news.wit.edu.cn/info/1039/48581.htm,2022-04-06 00:00:00,Wuhan Institute of Technology,Institution,"The School of Arts and Design has won multiple awards in the ""Seventh Two Sides of the Southern Side New Site, Huaban Award""","本网讯（通讯员 张诏溪 赵文婕）4月2日上午，由中国高等教育学会、中华中山文化交流协会、北京歌华文化发展集团共同主办的第七届“两岸新锐设计竞赛·华灿奖”颁奖仪式以线上线下相结合的方式举行。在全国赛中，艺术设计学院学生蒋佳龙斩获全国二等奖1项，张诏溪、赵文婕、朱屹民、李维（视传）斩获三等奖1项，获优秀奖4项。武汉工程大学荣获“优秀组织奖”,艺术设计学院教师张媛、曾曦、陈思获“优秀指导教师奖”。同时，艺术设计学院学子在华中赛区中斩获一等奖11项、二等奖10项、三等奖21项。"
校纪委书记方文海赴楚天学生公寓检查疫情防控工作,http://news.wit.edu.cn/info/1039/48579.htm,2022-04-04 00:00:00,Wuhan Institute of Technology,Institution,"Fang Wenhai, Secretary of the School of Science and Technology, went to Chutian Student Apartment to check the prevention and control of epidemic",本网讯（通讯员 谭吉升）4月4日上午，校纪委书记方文海赴楚天学生公寓检查疫情防控工作。邮电与信息工程学院党委书记熊杰、院长冯兵、党委副书记田艺陪同检查。
缅英烈 寄哀思 传党情 强党性：我校开展缅怀英烈清明祭扫活动,http://news.wit.edu.cn/info/1039/48571.htm,2022-04-03 00:00:00,Wuhan Institute of Technology,Institution,Myanmar British Punch of the Party Strong Party: Our school launched a might of Ming and Qingming Festival,本网讯（通讯员 季凯）为深入开展爱国主义教育，缅怀英雄事迹，弘扬许志伟精神，在清明节来临之际，4月3日上午，校党委学工部、校团委联合化工与制药学院、土木工程与建筑学院、材料科学与工程学院、兴发矿业学院开展缅怀英烈清明祭扫活动。党委学工部副部长徐迪迪、校团委副书记邓欢出席本次活动。仪式由化工与制药学院党委副书记周丹主持。
学校召开研究生招生工作会,http://news.wit.edu.cn/info/1039/48569.htm,2022-04-03 00:00:00,Wuhan Institute of Technology,Institution,School convened graduate enrollment work,本网讯（通讯员 樊保明 朱冬冬）3月31日上午，学校在流芳校区第二会议室召开研究生招生工作会，校党委书记程幼金，校长王存文，校党委副书记李志旭，副校长张彦铎、喻发全，校党委常委、宣传部部长韩高军出席会议，会议由王存文主持。
学校研究部署近期疫情防控工作,http://news.wit.edu.cn/info/1039/48568.htm,2022-04-03 00:00:00,Wuhan Institute of Technology,Institution,School research deployed recent epidemic prevention and control work,本网讯（通讯员 孙珺）4月1日上午，学校在第二会议室召开疫情防控工作会，总结前一阶段学校疫情防控工作，研判当前疫情防控形势，传达上级单位有关工作要求，研究部署学校校园安全管理和近期疫情防控工作。校党委书记程幼金出席并主持会议，校党委副书记李志旭，校纪委书记方文海，党委常委、宣传部部长韩高军出席会议。
